Word,Pronunciation,Part of Speech,Meaning,Usage in Sentence,Synonym,Antonym,Etymology
stringent,STRIN-juhnt,adj.,binding; rigid,I think these regulations are too stringent.,"strict, rigorous","lax, lenient",L stringere (to draw tight)
strut,STRUT,n.,pompous walk,His strut as he marched about the parade ground revealed him for what he was: a pompous buffoon.,swagger,—,OE strutian (to stand out stiffly)
strut,STRUT,n.,supporting bar,The engineer calculated that the strut supporting the rafter needed to be reinforced.,"brace, support",—,OE strutian
studied,STUHD-eed,adj.,"unspontaneous; deliberate, thoughtful","Given Jill's previous slights, Jack felt that the omission of his name from the guest list was a studied insult.","deliberate, calculated","spontaneous, unplanned",from 'study'
stultify,STUHL-tuh-fy,v.,cause to appear or become stupid or inconsistent; frustrate or hinder,"His long hours in the blacking factory left young Dickens numb and incurious, as if the menial labor had stultified his mind.","stupefy, hamper","stimulate, invigorate",L stultus (foolish)
stupefy,STOO-puh-fy,v.,make numb; stun; amaze,"Disapproving of drugs in general, Laura refused to take sleeping pills or any other medicine that might stupefy her.","daze, benumb","invigorate, animate",L stupere (to be stunned)
stupor,STOO-per,n.,state of apathy; daze; lack of awareness,"In his stupor, the addict was unaware of the events taking place around him.","daze, torpor","alertness, awareness",L stupere (to be stunned)
stygian,STIJ-ee-uhn,adj.,gloomy; hellish; deathly,"Shielding the flickering candle from any threatening draft, Tom and Becky descended into the stygian darkness of the underground cavern.","infernal, hellish","heavenly, bright","from Styx, mythical river of the underworld"
stymie,STY-mee,v.,present an obstacle; stump,The detective was stymied by the contradictory evidence in the robbery investigation.,"thwart, baffle","aid, facilitate","origin uncertain, from golf term"
suavity,SWAH-vi-tee,n.,urbanity; polish,He is particularly good in roles that require suavity and sophistication.,"polish, urbanity","crudeness, boorishness","L suavis (sweet, pleasant)"
subaltern,suhb-AWL-tern,n.,subordinate,The captain treated his subalterns as though they were children rather than commissioned officers.,"subordinate, inferior officer","superior, commander",L sub (under) + alternus (other)
subdued,suhb-DOOD,adj.,less intense; quieter,Bob liked the subdued lighting at the restaurant because he thought it was romantic; I just thought the place was dimly lit.,"muted, restrained","intense, vivid",from 'subdue'
subjective,suhb-JEK-tiv,adj.,occurring or taking place within the mind; unreal,Your analysis is highly subjective; you have permitted your emotions and your opinions to color your thinking.,"personal, biased","objective, impartial",L subjectus (placed under)
subjugate,SUHB-juh-gayt,v.,conquer; bring under control,It is not our aim to subjugate our foe; we are interested only in establishing peaceful relations.,"subdue, vanquish","liberate, free",L sub (under) + jugum (yoke)
sublimate,SUHB-luh-mayt,v.,refine; purify,We must strive to sublimate these desires and emotions into worthwhile activities.,"purify, refine","debase, degrade",L sublimare (to elevate)
sublime,suh-BLYM,adj.,exalted; noble and uplifting; utter,"Lucy was in awe of Desi's sublime musicianship, while he was in awe of her sublime naïveté.","exalted, lofty","base, ignoble",L sublimis (lofty)
subliminal,sub-LIM-uh-nl,adj.,below the threshold,We may not be aware of the subliminal influences that affect our thinking.,"unconscious, subconscious","conscious, overt",L sub (below) + limen (threshold)
submissive,suhb-MIS-iv,adj.,yielding; timid,"When he refused to permit Elizabeth to marry her poet, Mr. Barrett expected her to be properly submissive; instead, she eloped with the guy!","docile, compliant","defiant, rebellious",L submittere (to submit)
subordinate,suh-BOR-dn-it,adj.,occupying a lower rank; inferior; submissive,Bishop Proudie's wife expected the subordinate clergy to behave with great deference to the wife of their superior.,"inferior, secondary","superior, dominant",L sub (under) + ordinare (to order)
suborn,suh-BORN,v.,persuade to act unlawfully (especially to commit perjury),"In The Godfather, the mobsters used bribery and threats to suborn the witnesses against Don Michael Corleone.","bribe, induce",—,L subornare (to equip secretly)
subpoena,suh-PEE-nuh,n.,writ summoning a witness to appear,The prosecutor's office was ready to serve a subpoena on the reluctant witness.,summons,—,L sub poena (under penalty)
subsequent,SUHB-si-kwuhnt,adj.,following; later,"In subsequent lessons, we shall take up more difficult problems.","later, ensuing","previous, prior",L sub (after) + sequi (to follow)
subservient,suhb-SUR-vee-uhnt,adj.,behaving like a slave; servile; obsequious,She was proud and dignified; she refused to be subservient to anyone.,"servile, obsequious","domineering, assertive",L sub (under) + servire (to serve)
subside,suhb-SYD,v.,settle down; descend; grow quiet,The doctor assured us that the fever would eventually subside.,"abate, diminish","intensify, increase",L subsidere (to settle down)
subsidiary,suhb-SID-ee-er-ee,adj.,subordinate; secondary,This information may be used as subsidiary evidence but is not sufficient by itself to prove your argument.,"secondary, auxiliary","primary, principal","L subsidium (support, reserve)"
subsidy,SUHB-si-dee,n.,"direct financial aid by government, etc.","Without this subsidy, American ship operators would not be able to compete in world markets.","grant, financial aid",—,L subsidium
subsistence,suhb-SIS-tuhns,n.,existence; means of support; livelihood,"In those days of inflated prices, my salary provided a mere subsistence.","livelihood, sustenance",—,"L subsistere (to stand still, exist)"
substantial,suhb-STAN-shuhl,adj.,ample; solid; essential or fundamental,"The generous scholarship represented a substantial sum of money. If you don't eat a more substantial dinner, you'll be hungry later on.","ample, considerable","negligible, insubstantial",L substantia (substance)
substantiate,suhb-STAN-shee-ayt,v.,establish by evidence; verify; support,These endorsements from satisfied customers substantiate our claim that Barron's How to Prepare for the GRE is the best GRE-prep book on the market.,"verify, corroborate","refute, disprove",from 'substantial' (L substantia)
substantive,SUHB-stuhn-tiv,adj.,essential; pertaining to the substance,"Although the delegates were aware of the importance of the problem, they could not agree on the substantive issues.","essential, fundamental","superficial, trivial",L substantia (substance)
subsume,suhb-SOOM,v.,include; encompass,"Does the general theory of relativity contradict Newtonian physics, or is Newton's law of gravity subsumed into Einstein's larger scheme?","incorporate, encompass","exclude, separate",L sub (under) + sumere (to take)
subterfuge,SUHB-ter-fyooj,n.,pretense; evasion,"As soon as we realized that you had won our support by a subterfuge, we withdrew our endorsement of your candidacy.","deception, ruse","honesty, candor",L subterfugere (to escape secretly)
subtlety,SUHT-l-tee,n.,perceptiveness; ingenuity; delicacy,"Never obvious, she expressed herself with such subtlety that her remarks went right over the heads of most of her audience.","nuance, finesse","obviousness, crudeness","L subtilis (fine, precise)"
subversive,suhb-VUR-siv,adj.,tending to overthrow; destructive,"At first glance, the notion that Styrofoam cups may actually be more ecologically sound than paper cups strikes most environmentalists as subversive.","seditious, destructive","supportive, loyal",L subvertere (to overturn)
succinct,suhk-SINGKT,adj.,brief; terse; compact,Don't bore your audience with excess verbiage: be succinct.,"concise, terse","verbose, wordy","L succinctus (girded up, abridged)"
succor,SUHK-er,v.,aid; assist; comfort,"If you believe that con man has come here to succor you in your hour of need, you're even a bigger sucker than I thought.","help, relieve","abandon, neglect",L succurrere (to run to help)
succulent,SUHK-yuh-luhnt,adj.,juicy; full of richness,"To some people, Florida citrus fruits are more succulent than those from California.","juicy, luscious","dry, withered",L succus (juice)
succumb,suh-KUHM,v.,yield; give in; die,I succumb to temptation whenever it comes my way.,"yield, capitulate","resist, withstand",L succumbere (to lie down under)
suffragist,SUHF-ruh-jist,n.,advocate of voting rights (for women),"In recognition of her efforts to win the vote for women, Congress authorized coining a silver dollar honoring the suffragist Susan B. Anthony.",advocate of suffrage,—,L suffragium (vote)
suffuse,suh-FYOOZ,v.,spread over,A blush suffused her cheeks when we teased her about her love affair.,"permeate, pervade","drain, withdraw",L suffundere (to pour beneath)
sully,SUHL-ee,v.,tarnish; soil,He felt that it was beneath his dignity to sully his hands in such menial labor.,"tarnish, defile","cleanse, purify",OFr souiller
sultry,SUHL-tree,adj.,sweltering,He could not adjust himself to the sultry climate of the tropics.,"humid, torrid","cool, crisp",from 'sweltry' (related to 'swelter')
summation,suh-MAY-shuhn,n.,act of finding the total; summary,"In his summation, the lawyer emphasized the testimony given by the two witnesses.","summary, recap",—,L summa (sum)
sumptuous,SUHMP-choo-uhs,adj.,lavish; rich,I cannot recall when I have had such a sumptuous Thanksgiving feast.,"lavish, luxurious","modest, austere",L sumptus (expense)
sunder,SUHN-der,v.,separate; part,Northern and southern Ireland are politically and religiously sundered.,"split, divide","unite, join",OE sundrian
sundry,SUHN-dree,adj.,various; several,My suspicions were aroused when I read sundry items in the newspapers about your behavior.,"various, miscellaneous",—,OE syndrig
superannuated,soo-per-AN-yoo-ay-tid,adj.,retired or disqualified because of age,The superannuated man was indignant because he felt that he could still perform a good day's work.,"retired, aged out","youthful, current",L super (beyond) + annus (year)
supercilious,soo-per-SIL-ee-uhs,adj.,arrogant; condescending; patronizing,The supercilious headwaiter sneered at customers who he thought did not fit the image of a restaurant catering to an ultrafashionable crowd.,"haughty, disdainful","humble, modest","L supercilium (eyebrow, hence pride)"
supererogatory,soo-per-i-ROG-uh-tor-ee,adj.,superfluous; more than needed or demanded,We have more than enough witnesses to corroborate your statement; at present any more would be supererogatory.,"excessive, unnecessary","essential, required",L super (above) + erogare (to pay out)
superficial,soo-per-FISH-uhl,adj.,trivial; shallow,"Since your report gave only a superficial analysis of the problem, I cannot give you more than a passing grade.","shallow, cursory","thorough, profound",L superficies (surface)
superfluous,soo-PUR-floo-uhs,adj.,excessive; overabundant; unnecessary,Please try not to include so many superfluous details in your report; just give me the bare facts.,"unnecessary, excess","essential, necessary",L super (over) + fluere (to flow)
superimpose,soo-per-im-POHZ,v.,place over something else,Your attempt to superimpose another agency in this field will merely increase the bureaucratic nature of our government.,"overlay, place on top",—,L super (over) + imponere (to place)
supernumerary,soo-per-NOO-muh-rer-ee,n.,person or thing in excess of what is necessary or demanded,His first appearance on the stage was as a supernumerary in a Shakespearean tragedy.,"extra, walk-on",—,L super (over) + numerus (number)
supersede,soo-per-SEED,v.,cause to be set aside; replace; make obsolete,"Bulk mailing postal regulation 326D supersedes bulk mailing postal regulation 326C. If, in bundling your bulk mailing, you follow regulation 326C, your bulk mailing will be returned.","supplant, replace",—,L super (above) + sedere (to sit)
supine,soo-PYN,adj.,lying on back,The defeated pugilist lay supine on the canvas.,"prone (on back), flat",prone (face down); upright,L supinus
supplant,suh-PLANT,v.,replace; usurp,"Did the other woman actually supplant Princess Diana in Prince Charles's affections, or did Charles never love Diana at all? Bolingbroke, later to be known as King Henry IV, fought to supplant his cousin, Richard III, as King of England.","replace, displace",—,L supplantare (to trip up)
supple,SUHP-uhl,adj.,flexible; pliant,Years of yoga exercises made Grace's body supple.,"flexible, limber","rigid, stiff",L supplex
suppliant,SUHP-lee-uhnt,adj.,entreating; beseeching,"He could not resist the dog's suppliant whimpering, and he gave it some food.","beseeching, imploring",—,L supplicare (to plead)
supplicate,SUHP-li-kayt,v.,petition humbly; pray to grant a favor,We supplicate Your Majesty to grant him amnesty.,"beg, entreat",—,L supplicare (to kneel down)
supposition,suhp-uh-ZISH-uhn,n.,hypothesis; surmise,I based my decision to confide in him on the supposition that he would be discreet.,"conjecture, assumption","certainty, fact",L supponere (to put under)
supposititious,suh-poz-i-TISH-uhs,adj.,assumed; counterfeit; hypothetical,I find no similarity between your supposititious illustration and the problem we are facing.,"hypothetical, fake","genuine, authentic",L suppositus (substituted)
suppress,suh-PRES,v.,stifle; overwhelm; subdue; inhibit,"Too polite to laugh in anyone's face, Roy did his best to suppress his amusement at Ed's inane remark.","stifle, quash","release, unleash",L supprimere (to press down)
surfeit,SUR-fit,v.,satiate; stuff; indulge to excess in anything,Every Thanksgiving we are surfeited with an overabundance of holiday treats.,"glut, satiate","deprive, starve",OFr surfaire (to overdo)
surly,SUR-lee,adj.,rude; cross,"Because of his surly attitude, many people avoided his company.","gruff, sullen","amiable, genial",alteration of 'sirly' (lordly)
surmise,sur-MYZ,v.,guess,I surmise that he will be late for this meeting.,"conjecture, speculate",know for certain,OFr surmise (accusation)
surmount,sur-MOWNT,v.,overcome,I know you can surmount any difficulties that may stand in the way of your getting an education.,"overcome, conquer","succumb to, yield to",OFr sur (over) + monter (to mount)
surpass,sur-PAS,v.,exceed,Her SAT scores surpassed our expectations.,"exceed, outdo",fall short of,Fr sur (over) + passer (to pass)
surreptitious,sur-uhp-TISH-uhs,adj.,secret; furtive; sneaky; hidden,"Hoping to discover where his mom had hidden the Christmas presents, Timmy took a surreptitious peek into the master bedroom closet.","stealthy, clandestine","open, overt",L surripere (to seize secretly)
surrogate,SUR-uh-git,n.,substitute,"For a fatherless child, a male teacher may become a father surrogate.","substitute, proxy",—,L surrogare (to substitute)
surveillance,ser-VAY-luhns,n.,watching; guarding,The FBI kept the house under constant surveillance in the hope of capturing all the criminals at one time.,"monitoring, observation",—,Fr surveiller (to watch over)
susceptible,suh-SEP-tuh-buhl,adj.,"impressionable; easily influenced; having little resistance, as to a disease; receptive to","Said the patent medicine man to his very susceptible customer: ""Buy this new miracle drug, and you will no longer be susceptible to the common cold.""","vulnerable, prone","immune, resistant","L suscipere (to undertake, admit)"
sustain,suh-STAYN,v.,experience; support; nourish,He sustained such a severe injury that the doctors feared he would be unable to work to sustain his growing family.,endure; support,—,L sustinere (to hold up)
sustenance,SUHS-tuh-nuhns,n.,"means of support, food, nourishment","In the tropics, the natives find sustenance easy to obtain because of all the fruit trees.","nourishment, food",—,L sustinere (to sustain)
suture,SOO-cher,n.,stitches sewn to hold the cut edges of a wound or incision; material used in sewing,We will remove the sutures as soon as the wound heals.,stitch,—,L sutura (a seam)
swarthy,SWOR-thee,adj.,dark; dusky,"Despite the stereotype, not all Italians are swarthy; many are fair and blond.",dark-complexioned,"fair, pale",OE sweart (black)
swathe,SWAYTH,v.,wrap around; bandage,"When I visited him in the hospital, I found him swathed in bandages.","wrap, swaddle","unwrap, expose",OE swathian
swelter,SWEL-ter,v.,be oppressed by heat,I am going to buy an air conditioning unit for my apartment as I do not intend to swelter through another hot and humid summer.,"roast, broil","freeze, shiver",OE sweltan (to die)
swerve,SWURV,v.,deviate; turn aside sharply,The car swerved wildly as the driver struggled to regain control of the wheel.,"veer, deviate",stay the course,"OE sweorfan (to rub, file)"
swill,SWIL,v.,drink greedily,"Singing ""Yo, ho, ho, and a bottle of rum,"" Long John Silver and his fellow pirates swilled their grog.","guzzle, gulp",sip daintily,"OE swilian (to wash, rinse)"
swindler,SWIN-dler,n.,cheat,"She was gullible and trusting, an easy victim for the first swindler who came along.","con artist, fraud",—,"Ger Schwindler (one who is giddy, cheat)"
sybarite,SIB-uh-ryt,n.,lover of luxury,Rich people are not always sybarites; some of them have little taste for a life of luxury.,"hedonist, voluptuary","ascetic, stoic","from Sybaris, ancient Greek city known for luxury"
sycophant,SIK-uh-fuhnt,n.,servile flatterer; bootlicker; yes man,"Fed up with the toadies and brownnosers who made up his entourage, the star cried, ""Get out, all of you! I'm sick of sycophants!""","toady, flatterer",—,Gk sykophantes (informer)
syllogism,SIL-uh-jiz-uhm,n.,"logical formula consisting of a major premise, a minor premise and a conclusion; deceptive or specious argument",There must be a fallacy in this syllogism; I cannot accept its conclusion.,logical argument,—,Gk syllogismos (reckoning together)
sylvan,SIL-vuhn,adj.,pertaining to the woods; rustic,His paintings of nymphs in sylvan backgrounds were criticized as oversentimental.,"woodland, rustic","urban, metropolitan",L silva (forest)
symbiosis,sim-bee-OH-sis,n.,"interdependent relationship (between groups, species), often mutually beneficial","Both the crocodile bird and the crocodile derive benefit from their symbiosis; pecking away at food particles embedded in the crocodile's teeth, the bird derives nourishment; the crocodile, meanwhile, derives proper dental hygiene.","interdependence, mutualism",—,Gk syn (together) + bios (life)
symmetry,SIM-i-tree,n.,arrangement of parts so that balance is obtained; congruity,"By definition, something lopsided lacks symmetry.","balance, proportion","asymmetry, imbalance",Gk syn (together) + metron (measure)
synchronous,SING-kruh-nuhs,adj.,similarly timed; simultaneous with,We have many examples of scientists in different parts of the world who have made synchronous discoveries.,"simultaneous, concurrent","asynchronous, staggered",Gk syn (together) + chronos (time)
synoptic,si-NOP-tik,adj.,providing a general overview; summary,The professor turned to the latest issue of Dissertation Abstracts for a synoptic account of what was new in the field.,"summarizing, general","detailed, exhaustive",Gk syn (together) + opsis (view)
synthesis,SIN-thuh-sis,n.,combining parts into a whole,"Now that we have succeeded in isolating this drug, our next problem is to plan its synthesis in the laboratory.","combination, fusion","analysis, decomposition",Gk syn (together) + tithenai (to place)
synthetic,sin-THET-ik,adj.,artificial; resulting from synthesis,"During the twentieth century, many synthetic products have replaced the natural materials.","artificial, man-made","natural, organic",Gk synthetikos
tacit,TAS-it,adj.,understood; not put into words,We have a tacit agreement based on only a handshake.,"implied, unspoken","explicit, stated",L tacere (to be silent)
taciturn,TAS-i-turn,adj.,habitually silent; talking little,"The stereotypical cowboy is a taciturn soul, answering lengthy questions with a ""Yep"" or ""Nope.""","reticent, reserved","talkative, garrulous",L tacere (to be silent)
tactile,TAK-tyl,adj.,pertaining to the organs or sense of touch,His callused hands had lost their tactile sensitivity.,"tangible, touch-related",—,L tactus (touch)
taint,TAYNT,v.,contaminate; cause to lose purity; modify with a trace of something bad,One speck of dirt on your utensils may contain enough germs to taint an entire batch of preserves.,"contaminate, sully","purify, cleanse",OFr teint (tinted)
talisman,TAL-is-muhn,n.,charm,She wore the talisman to ward off evil.,"amulet, charm",—,Gk telesma (consecrated object)
talon,TAL-uhn,n.,claw of bird,The falconer wore a leather gauntlet to avoid being clawed by the hawk's talons.,claw,—,"L talus (heel, ankle)"
tangential,tan-JEN-shuhl,adj.,peripheral; only slightly connected; digressing,"Despite Clark's attempts to distract her with tangential remarks, Lois kept on coming back to her main question: why couldn't he come out to dinner with Superman and her?","peripheral, digressive","central, essential",L tangere (to touch)
tangible,TAN-juh-buhl,adj.,able to be touched; real; palpable,"Although Tom did not own a house, he had several tangible assets—a car, a television, a PC—that he could sell if he needed cash.","palpable, concrete","intangible, abstract",L tangere (to touch)
tanner,TAN-er,n.,person who turns animal hides into leather,"Using a solution of tanbark, the tanner treated the cowhide, transforming it into supple leather.",leather-maker,—,"L tannare (related to tannum, oak bark)"
tantalize,TAN-tl-yz,v.,tease; torture with disappointment,Tom loved to tantalize his younger brother with candy; he knew the boy was forbidden to have it.,"tease, torment","satisfy, gratify","from Tantalus, mythical figure punished with unreachable food/water"
tantamount,TAN-tuh-mownt,adj.,equivalent in effect or value,"Because so few Southern blacks could afford to pay the poll tax, the imposition of this tax on prospective voters was tantamount to disenfranchisement for black voters.","equivalent, tantamount to",—,AngloNorman tant amunter (to amount to as much)
tantrum,TAN-trəm,Noun,A fit of petulance; caprice,The child learned that he could get almost anything if he went into tantrums.,"outburst, fit, rage","composure, calm, self-control","18th c. English, origin uncertain"
taper,TAY-pər,Noun,A candle; a slender wax light,She lit the taper on the windowsill.,"candle, wick, light","darkness, extinguish","Old English 'tapor', candle"
tarantula,tə-RAN-choo-lə,Noun,A venomous spider,We need an antitoxin to counteract the bite of the tarantula.,"spider, arachnid",—,"Italian 'tarantola', from Taranto, Italy"
tarry,TAIR-ee,Verb,To delay; to dawdle,We can't tarry if we want to get to the airport on time.,"linger, delay, loiter","hurry, hasten, rush","Middle English 'tarien', to delay"
taut,TAWT,Adjective,Tight; ready,The captain maintained that he ran a taut ship.,"tight, tense, firm","slack, loose, relaxed","Middle English 'taught', pulled tight"
tautological,taw-tə-LOJ-i-kəl,Adjective,Needlessly repetitious,"In the sentence 'It was visible to the eye,' the phrase 'to the eye' is tautological.","redundant, repetitive, circular","concise, succinct, terse","Greek 'tautologia', saying the same thing"
tawdry,TAW-dree,Adjective,Cheap and gaudy,He won a few tawdry trinkets in Coney Island.,"garish, flashy, meretricious","tasteful, elegant, refined","From 'St. Audrey's lace', cheap lace sold at fairs"
taxonomist,tak-SON-ə-mist,Noun,"A specialist in classifying animals, plants, etc.",Dental patterns often enable the taxonomist to distinguish members of one rodent species from those of another.,"classifier, systematist",—,Greek 'taxis' (arrangement) + 'nomos' (law)
tedium,TEE-dee-əm,Noun,Boredom; weariness,We hope this radio will help overcome the tedium of your stay in the hospital.,"boredom, monotony, dullness","excitement, stimulation, interest","Latin 'taedium', weariness"
teetotalism,tee-TOH-tə-liz-əm,Noun,Practice of abstaining totally from alcoholic drinks,"Though the doctor warned Bert to cut down his booze intake, she didn't insist that he practice teetotalism.","abstinence, sobriety, temperance","alcoholism, intemperance","Reduplication of 'total' for emphasis, 19th c."
temerity,tə-MAIR-i-tee,Noun,Boldness; rashness,Do you have the temerity to argue with me?,"audacity, rashness, boldness","timidity, caution, cowardice","Latin 'temeritas', recklessness"
temper,TEM-pər,Verb,To moderate; tone down; restrain; toughen (steel),Not even her supervisor's grumpiness could temper Nancy's enthusiasm for her new job.,"moderate, soften, restrain","intensify, aggravate, inflame","Latin 'temperare', to mix in due proportion"
temperament,TEM-prə-mənt,Noun,Characteristic frame of mind; disposition; emotional excess,"Although the twins look alike, they differ markedly in temperament: Tod is calm, but Rod is excitable.","disposition, nature, character",—,"Latin 'temperamentum', proper mixture"
temperate,TEM-pər-it,Adjective,Restrained; self-controlled; moderate in respect to temperature,Try to be temperate in your eating this holiday season.,"moderate, restrained, mild","intemperate, extreme, excessive","Latin 'temperatus', restrained"
tempestuous,tem-PES-choo-əs,Adjective,Stormy; impassioned; violent,Racket-throwing tennis star John McEnroe was famed for his displays of tempestuous temperament.,"stormy, turbulent, tumultuous","calm, peaceful, tranquil","Latin 'tempestuosus', stormy"
tempo,TEM-poh,Noun,Speed of music,I find the conductor's tempo too slow for such a brilliant piece of music.,"pace, speed, rhythm",—,"Italian 'tempo', from Latin 'tempus', time"
temporal,TEM-pər-əl,Adjective,Not lasting forever; limited by time; secular,"At one time in our history, temporal rulers assumed that they had been given their thrones by divine right.","secular, worldly, transient","eternal, spiritual, permanent","Latin 'temporalis', of time"
temporize,TEM-pə-ryz,Verb,To avoid committing oneself; gain time,I cannot permit you to temporize any longer; I must have a definite answer today.,"stall, delay, hedge","decide, commit, resolve","Medieval Latin 'temporizare', to pass the time"
tenacious,tə-NAY-shəs,Adjective,Holding fast,I had to struggle to break his tenacious hold on my arm.,"persistent, firm, resolute","yielding, weak, irresolute","Latin 'tenax', holding fast"
tenacity,tə-NAS-i-tee,Noun,Firmness; persistence,Jean Valjean could not believe the tenacity of Inspector Javert.,"persistence, determination, resolve","weakness, irresolution, vacillation","Latin 'tenacitas', holding fast"
tendentious,ten-DEN-shəs,Adjective,Having an aim; biased; designed to further a cause,The editorials in this periodical are tendentious rather than truth-seeking.,"biased, partisan, slanted","impartial, objective, neutral","Latin 'tendere', to stretch toward"
tender,TEN-dər,Verb,To offer; extend,"Although no formal charges had been made against him, the mayor felt he should tender his resignation.","offer, proffer, extend","withdraw, retract, withhold","Latin 'tendere', to stretch"
tenet,TEN-it,Noun,Doctrine; dogma,The agnostic did not accept the tenets of their faith.,"doctrine, principle, belief","disbelief, denial, heresy","Latin 'tenet', he holds"
tensile,TEN-sil,Adjective,Capable of being stretched,Mountain climbers must know the tensile strength of their ropes.,"elastic, ductile, stretchable","rigid, brittle, inflexible","Latin 'tensus', stretched"
tentative,TEN-tə-tiv,Adjective,Hesitant; not fully worked out; experimental,"Unsure of his welcome at the Christmas party, Scrooge took a tentative step into his nephew's drawing room.","hesitant, provisional, experimental","definite, final, certain","Latin 'tentare', to attempt"
tenuous,TEN-yoo-əs,Adjective,Thin; rare; slim,The allegiance of our allies is held by rather tenuous ties.,"thin, slender, fragile","strong, solid, substantial","Latin 'tenuis', thin"
tenure,TEN-yər,Noun,Holding of an office; time during which such an office is held,She has permanent tenure in this position and cannot be fired.,"term, incumbency, occupancy","dismissal, removal, displacement","Latin 'tenere', to hold"
tepid,TEP-id,Adjective,Lukewarm,"During the summer, I like to take a tepid bath, not a hot one.","lukewarm, mild, moderate","boiling, icy, extreme","Latin 'tepidus', warm"
termination,tur-mi-NAY-shən,Noun,End,"Though the time for termination of the project was near, we still had a lot of work to finish.","end, conclusion, cessation","beginning, start, commencement","Latin 'terminatio', setting of boundaries"
terminology,tur-mi-NOL-ə-jee,Noun,Terms used in a science or art,The special terminology developed by some authorities in the field has done more to confuse laypersons than to enlighten them.,"jargon, nomenclature, lexicon","plain speech, layman's terms",Latin 'terminus' (boundary) + Greek 'logos' (word)
terminus,TUR-mi-nəs,Noun,Last stop of railroad,"After we reached the railroad terminus, we continued our journey into the wilderness on saddle horses.","end point, terminal, destination","origin, start, beginning","Latin 'terminus', boundary, end"
terrestrial,tə-RES-tree-əl,Adjective,On or relating to the earth,We have been able to explore the terrestrial regions much more thoroughly than the aquatic or celestial regions.,"earthly, worldly, land-based","celestial, aquatic, extraterrestrial","Latin 'terra', earth"
terse,TURS,Adjective,Concise; abrupt; pithy,There is a fine line between speech that is terse and to the point and speech that is too abrupt.,"concise, brief, pithy","verbose, wordy, long-winded","Latin 'tersus', wiped clean"
tertiary,TUR-shee-air-ee,Adjective,Third,He is so thorough that he analyzes tertiary causes where other writers are content with primary and secondary reasons.,"third, third-order","primary, secondary","Latin 'tertiarius', of the third part"
tesselated,TES-ə-lay-tid,Adjective,Inlaid; mosaic,I recall seeing a table with a tesselated top of bits of stone and glass in a very interesting pattern.,"mosaic, inlaid, checkered","plain, uniform, solid","Latin 'tessellatus', made of small squares"
testator,TES-tay-tər,Noun,Maker of a will,The attorney called in his secretary and his partner to witness the signature of the testator.,"will-maker, legator, bequeather","beneficiary, heir, legatee","Latin 'testator', one who makes a will"
testy,TES-tee,Adjective,Irritable; short-tempered,My advice is to avoid discussing this problem with her today as she is rather testy and may shout at you.,"irritable, touchy, irascible","calm, placid, even-tempered","Old French 'teste', headstrong (from 'head')"
tether,TETH-ər,Verb,To tie with a rope,"Before we went to sleep, we tethered the horses to prevent their wandering off during the night.","tie, fasten, restrain","free, untie, release","Old Norse 'tjóðr', rope for tying animals"
thematic,thə-MAT-ik,Adjective,Relating to a unifying motif or idea,Those who think of Moby Dick as a simple adventure story about whaling miss its underlying thematic import.,"topical, conceptual, motif-based","incidental, irrelevant","Greek 'thema', proposition"
theocracy,thee-OK-rə-see,Noun,Government run by religious leaders,"Though some Pilgrims favored the establishment of a theocracy in New England, many preferred a nonreligious form of government.","clerical rule, religious government","democracy, secularism, republic",Greek 'theos' (god) + 'kratos' (rule)
theoretical,thee-ə-RET-i-kəl,Adjective,Not practical or applied; hypothetical,Bob was better at applied engineering and computer programming than he was at theoretical physics and math.,"hypothetical, abstract, speculative","practical, applied, empirical","Greek 'theoretikos', speculative"
therapeutic,thair-ə-PYOO-tik,Adjective,Curative,Saratoga Springs first gained attention for the therapeutic qualities of its famous 'healing waters.',"curative, healing, remedial","harmful, detrimental, toxic","Greek 'therapeutikos', tending to cure"
thermal,THUR-məl,Adjective,Pertaining to heat,The natives discovered that the hot springs gave excellent thermal baths and began to develop their community as a health resort.,"heat-related, warm, caloric","cold, frigid, arctic","Greek 'therme', heat"
thespian,THES-pee-ən,Adjective/Noun,Pertaining to drama; an actor,Her success in the school play convinced her she was destined for a thespian career.,"dramatic, theatrical; actor, performer","nondramatic; audience, spectator","From Thespis, ancient Greek dramatist"
thrall,THRAWL,Noun,Slave; bondage,The captured soldier was held in thrall by the conquering army.,"slave, bondage, captivity","freedom, liberty, emancipation","Old English 'þræl', slave"
threadbare,THRED-bair,Adjective,Worn through till the threads show; shabby and poor,The poorly paid adjunct professor hid the threadbare spots on his jacket by sewing leather patches on his sleeves.,"shabby, worn, tattered","new, pristine, elegant",Old English 'þræd' (thread) + 'bær' (bare)
thrifty,THRIF-tee,Adjective,Careful about money; economical,A thrifty shopper compares prices before making major purchases.,"economical, frugal, saving","wasteful, extravagant, spendthrift","Old Norse 'þrift', prosperity"
thrive,THRYV,Verb,To prosper; flourish,"Despite the impact of recession on the restaurant trade, Philip's cafe thrived.","prosper, flourish, succeed","fail, wither, decline","Old Norse 'þrífa', to grasp, thrive"
throes,THROZE,Noun,Violent anguish,The throes of despair can be as devastating as the spasms accompanying physical pain.,"anguish, agony, pangs","calm, peace, comfort","Old English 'þrawan', to twist"
throng,THRONG,Noun,Crowd,Throngs of shoppers jammed the aisles.,"crowd, multitude, horde","individual, few, handful","Old English 'þrang', crowd"
