Word,Pronunciation,Part of Speech,Meaning,Usage in Sentence,Synonym,Antonym,Etymology
geniality,jee-nee-AL-ih-tee,n.,Cheerfulness; kindliness; sympathy.,"This restaurant is famous and popular because of the geniality of the proprietor, who tries to make everyone happy.","warmth, friendliness, cordiality, affability","coldness, hostility, surliness","From Latin genialis, ""pertaining to marriage/birth, jovial,"" from genius, ""guardian spirit."""
genre,ZHAHN-ruh,n.,A particular variety of art or literature.,"Both a short story writer and a poet, Langston Hughes proved himself equally skilled in either genre.","category, type, classification, style",(no direct antonym),"From French genre, ""kind, sort,"" from Latin genus."
genteel,jen-TEEL,adj.,Well-bred; elegant.,We are looking for a man with a genteel appearance who can inspire confidence by his cultivated manner.,"refined, polished, well-mannered, courtly","boorish, vulgar, coarse","From French gentil, ""noble, well-born,"" from Latin gentilis, ""of the same family."""
gentility,jen-TIL-ih-tee,n.,Those of gentle birth; refinement.,Her family was proud of its gentility and elegance.,"refinement, respectability, breeding","vulgarity, coarseness","From Old French gentilite, from Latin gentilitas, ""clan relationship,"" from gens, ""family, clan."""
gentry,JEN-tree,n.,People of standing; the class of people just below nobility.,The local gentry did not welcome the visits of the summer tourists and tried to ignore their presence in the community.,"nobility, aristocracy, upper class","commoners, peasantry, rabble","From Old French genterise, alteration of gentelise, related to 'gentle,' from Latin gentilis."
genuflect,JEN-yoo-flekt,v.,To bend the knee as in worship.,"A proud democrat, he refused to genuflect to any man.","kneel, bow, curtsy, prostrate oneself","stand defiantly, refuse to bow","From Latin genu, ""knee,"" + flectere, ""to bend."""
germane,jer-MAYN,adj.,Pertinent; bearing upon the case at hand.,The lawyer objected that the testimony being offered was not germane to the case at hand.,"relevant, pertinent, apt, applicable","irrelevant, extraneous, immaterial","From Latin germanus, ""of the same parents, closely related,"" from germen, ""sprout, bud."""
germinal,JUR-mih-nul,adj.,Pertaining to a germ; creative; in an early stage of development.,Such an idea is germinal; I am certain that it will influence thinkers and philosophers for many generations.,"embryonic, formative, seminal, nascent","developed, mature, full-grown","From Latin germen, germinis, ""sprout, bud, seed."""
germinate,JUR-mih-nayt,v.,To cause to sprout; to sprout.,"After the seeds germinate and develop their permanent leaves, the plants may be removed from the cold frames and transplanted to the garden.","sprout, bud, develop, grow","wither, decay, lie dormant","From Latin germinare, from germen, ""sprout, bud."""
gerontocracy,jair-un-TOK-ruh-see,n.,Government ruled by old people.,"Gulliver visited a gerontocracy in which the young people acted as servants to their elders, all the while dreaming of the day they would be old enough to have servants of their own.",rule by elders,rule by youth (no precise single-word antonym),"From Greek geron, ""old man,"" + kratos, ""power, rule."""
gerrymander,JAIR-ee-man-der,v.,To change voting district lines in order to favor a political party.,The illogical pattern of the map of this congressional district is proof that the state legislature gerrymandered this area in order to favor the majority party.,"rig, manipulate (districts), redistrict unfairly","redistrict fairly, apportion equitably","Named after Elbridge Gerry, Massachusetts governor, whose 1812 redrawn district resembled a salamander; blended with 'salamander.'"
gestate,JES-tayt,v.,"To evolve, as in prenatal growth; to develop gradually.","While this scheme was being gestated by the conspirators, they maintained complete silence about their intentions.","develop, incubate, mature, conceive","abort, abandon","From Latin gestare, ""to bear, carry."""
gesticulation,jes-tik-yoo-LAY-shun,n.,Motion; gesture.,Operatic performers are trained to make exaggerated gesticulations because of the large auditoriums in which they appear.,"gesture, motion, sign, flourish","stillness, immobility","From Latin gesticulatio, from gesticulari, ""to gesture,"" from gestus, ""gesture."""
ghastly,GAST-lee,adj.,Horrible.,The murdered man was a ghastly sight.,"horrifying, gruesome, dreadful, grisly","pleasant, lovely, delightful","From Middle English gastlich, ""terrifying,"" from gast, ""to frighten"" (related to 'ghost')."
gibberish,JIB-uh-rish,n.,Nonsense; babbling.,Did you hear that foolish boy spouting gibberish about monsters from outer space?,"nonsense, babble, drivel, jargon","sense, coherence, clarity","Imitative in origin, possibly related to 'gibber' (to speak rapidly and unintelligibly)."
gibe,jyb,v.,To mock; to taunt.,"As you gibe at their superstitious beliefs, do you realize that you, too, are guilty of similarly foolish thoughts?","mock, jeer, taunt, deride","praise, compliment, flatter","From Old French giber, ""to handle roughly,"" or possibly imitative."
giddy,GID-ee,adj.,Light-hearted; dizzy.,He felt his giddy youth was past.,"lightheaded, frivolous, exhilarated, flighty","sober, grounded, serious","From Old English gydig, ""possessed by a god, insane."""
gingerly,JIN-jer-lee,adv.,Very carefully.,"To separate egg whites, first crack the egg gingerly.","carefully, cautiously, delicately, warily","carelessly, recklessly, roughly","Origin uncertain, possibly from Old French gensor, ""delicate,"" unrelated to 'ginger.'"
girth,gurth,n.,Distance around something; circumference.,It took an extra-large cummerbund to fit around Andrew Carnegie's considerable girth.,"circumference, bulk, width, perimeter",(no direct antonym),"From Old Norse gjorth, ""girdle."""
gist,jist,n.,Essence; main point.,She was asked to give the gist of the essay in two sentences.,"essence, substance, crux, core",(no direct antonym),"From Old French gist, ""it lies,"" from gesir, ""to lie"" (as in a legal phrase ""the cause of action lies"")."
glacial,GLAY-shul,adj.,Like a glacier; extremely cold.,"Never a warm person, when offended Hugo could seem positively glacial.","icy, frigid, frosty, cold","warm, balmy, cordial","From Latin glacialis, from glacies, ""ice."""
glaring,GLAIR-ing,adj.,Highly conspicuous; harshly bright.,Glaring spelling or grammatical errors in your resume will unfavorably impress potential employers.,"conspicuous, blatant, flagrant, obvious","subtle, inconspicuous, minor","From 'glare' (Middle English glaren, ""to shine dazzlingly"")."
glaze,glayz,v.,To cover with a thin and shiny surface.,The freezing rain glazed the streets and made driving hazardous.,"coat, gloss, varnish, ice over","roughen, dull","From Middle English glasen, ""to fit with glass,"" from 'glass.'"
glean,gleen,v.,To gather leavings; to collect bit by bit.,"After the crops had been harvested by the machines, the peasants were permitted to glean the wheat left in the fields.","collect, gather, harvest, cull","scatter, discard, squander","From Old French glener, of Gaulish origin."
glib,glib,adj.,Fluent; facile; slick.,"Keeping up a steady patter to entertain his customers, the kitchen gadget salesman was a glib speaker, never at a loss for a word.","smooth-talking, fluent, slick, facile","tongue-tied, halting, awkward","Possibly from Low German glibberig, ""slippery."""
glimmer,GLIM-er,v.,To shine erratically; to twinkle.,"In the darkness of the cavern, the glowworms hanging from the cavern roof glimmered like distant stars.","twinkle, flicker, shimmer, glint","go dark, extinguish","From Middle English glimeren, related to Old Norse glia, ""to glow."""
gloat,gloht,v.,To express evil satisfaction; to view malevolently.,"As you gloat over your ill-gotten wealth, do you think of the many victims you have defrauded?","exult, revel, crow, glory (maliciously)","commiserate, sympathize, lament","Possibly from Old Norse glotta, ""to grin."""
gloss over,glaws OH-ver,v.,To explain away; to cover up.,"No matter how hard he tried to talk around the issue, President Bush could not gloss over the fact that he had raised taxes after all.","minimize, cover up, downplay, whitewash","highlight, expose, reveal","From 'gloss' (a superficial shine), of Scandinavian origin, extended figuratively to mean masking flaws."
glossary,GLAH-suh-ree,n.,A brief explanation of words used in the text.,I have found the glossary in this book very useful; it has eliminated many trips to the dictionary.,"lexicon, vocabulary list, word list",(no direct antonym),"From Latin glossarium, from glossa, ""obscure word requiring explanation,"" from Greek glossa, ""tongue, language."""
glossy,GLAH-see,adj.,Smooth and shining.,"I want this photograph printed on glossy paper, not matte.","shiny, lustrous, sleek, polished","matte, dull, flat","From 'gloss' (luster), possibly related to Icelandic glossi, ""flame, brightness."""
glower,GLOW-er,v.,To scowl; to stare angrily.,The angry boy glowered at his father.,"scowl, glare, frown, glout","smile, beam","Possibly from Scots/Northern English glowren, related to Old Norse glora, ""to glow."""
glut,glut,v.,To overstock; to fill to excess.,The many manufacturers glutted the market and could not find purchasers for the many articles they had produced.,"overstock, flood, saturate, oversupply","deplete, exhaust, undersupply","From Latin gluttire, ""to swallow,"" related to gluttus, ""glutton."""
glutinous,GLOO-tin-us,adj.,Sticky; viscous.,Molasses is a glutinous substance.,"sticky, viscous, gluey, tacky","fluid, runny, non-adhesive","From Latin glutinosus, from gluten, ""glue."""
glutton,GLUT-un,n.,Someone who eats too much.,"When Mother saw that Bobby had eaten all the cookies, she called him a little glutton.","overeater, gourmand (excessive sense), pig","ascetic, abstainer","From Old French gloton, from Latin gluttire, ""to swallow, gulp."""
gnarled,nahrld,adj.,Twisted.,The gnarled oak tree had been a landmark for years and was mentioned in several deeds.,"twisted, knotted, contorted, crooked","straight, smooth","From 'knar' (a knot in wood), of Germanic origin."
gnome,nohm,n.,A dwarf; an underground spirit.,"In medieval mythology, gnomes were the special guardians and inhabitants of subterranean mines.","dwarf, goblin, sprite",(no direct antonym),"From Modern Latin gnomus, coined by Paracelsus, possibly from Greek genomos, ""earth-dweller."""
goad,gohd,v.,To urge on; to prod.,She was goaded by her friends until she yielded to their wishes.,"prod, spur, incite, provoke","discourage, deter, restrain","From Old English gad, ""a spike, point"" (a tool for driving cattle)."
gorge (n.),gawrj,n.,"A narrow canyon; a steep, rocky cleft.","Terrified of heights, George could not bring himself to peer down into the gorge to see the rapids below.","canyon, ravine, chasm, gully",(no direct antonym),"From Old French gorge, ""throat,"" from Latin gurges, ""whirlpool, throat."""
gorge (v.),gawrj,v.,To stuff oneself.,The gluttonous guest gorged himself with food as though he had not eaten for days.,"stuff, gobble, devour, glut oneself","fast, abstain, nibble","From the same root as the noun 'gorge' (throat), since gorging fills the throat."
gory,GOR-ee,adj.,Bloody.,The audience shuddered as they listened to the details of the gory massacre.,"bloody, grisly, bloodstained, sanguinary","bloodless, clean","From 'gore' (clotted blood), from Old English gor, ""dung, filth."""
gossamer,GAH-suh-mer,adj.,Sheer; like cobwebs.,Nylon can be woven into gossamer or thick fabrics.,"filmy, sheer, delicate, diaphanous","thick, coarse, heavy","From Middle English gossomer, possibly from 'goose' + 'summer' (referring to fine cobwebs seen in late autumn, when geese were traditionally eaten)."
gouge (1),gowj,v.,To tear out.,"In that fight, all the rules were forgotten; the adversaries bit, kicked, and tried to gouge each other's eyes out.","scoop out, dig out, claw out",(no direct antonym),"From Old French gouge, ""a chisel,"" from Late Latin gubia."
gouge (2),gowj,v.,To overcharge; to cheat financially.,"During the World Series, ticket scalpers tried to gouge the public, asking astronomical prices even for bleacher seats.","overcharge, swindle, fleece, rip off","undercharge, give a fair price","Figurative extension of the chisel sense, suggesting one is being 'cut into' financially."
gourmand,goor-MAHND,n.,An epicure; a person who takes excessive pleasure in food and drink.,"Gourmands lack self-restraint; if they enjoy a particular cuisine, they eat far too much of it.","overeater, glutton, epicure","ascetic, light eater","From Old French gourmant, possibly related to 'glutton,' of disputed origin."
gourmet,goor-MAY,n.,A connoisseur of food and drink.,The gourmet stated that this was the best onion soup she had ever tasted.,"connoisseur, epicure, foodie",(no direct antonym),"From French gourmet, originally ""a wine-taster's assistant,"" of uncertain ultimate origin."
graduated,GRAJ-oo-ay-tid,adj.,"Arranged by degrees (of height, difficulty, etc.).",Margaret loved her graduated set of Russian hollow wooden dolls; she spent hours happily putting the smaller dolls into their larger counterparts.,"tiered, calibrated, staggered, ranked","uniform, undifferentiated","From Latin gradus, ""step, degree."""
granary,GRAN-uh-ree,n.,A storehouse for grain.,"We have reason to be thankful, for our crops were good and our granaries are full.","storehouse, silo, grain elevator",(no direct antonym),"From Latin granarium, from granum, ""grain."""
grandeur,GRAN-jer,n.,Impressiveness; stateliness; majesty.,"No matter how often he hiked through the mountains, David never failed to be struck by the grandeur of the Sierra Nevada range.","magnificence, splendor, majesty, glory","shabbiness, meanness, plainness","From French grandeur, from grand, ""great,"" from Latin grandis."
grandiloquent,gran-DIL-uh-kwent,adj.,Pompous; bombastic; using high-sounding language.,The politician could never speak simply; she was always grandiloquent.,"pompous, bombastic, lofty, florid","plain-spoken, simple, modest","From Latin grandis, ""great,"" + loquens, ""speaking,"" from loqui, ""to speak."""
grandiose,GRAN-dee-ohs,adj.,Pretentious; high-flown; ridiculously exaggerated; impressive.,The aged matinee idol still had grandiose notions of his supposed importance in the theatrical world.,"pretentious, extravagant, lofty, ostentatious","modest, unassuming, simple","From French grandiose, from Italian grandioso, from grande, ""great."""
granulate,GRAN-yuh-layt,v.,To form into grains.,Sugar that has been granulated dissolves more readily than lump sugar.,"crystallize, pulverize, grain","solidify (into a mass), clump","From Latin granulum, diminutive of granum, ""grain."""
graphic,GRAF-ik,adj.,Pertaining to the art of delineating; vividly described.,I was particularly impressed by the graphic presentation of the storm.,"vivid, lifelike, descriptive, illustrative","vague, abstract, dull","From Greek graphikos, from graphein, ""to write, draw."""
grapple,GRAP-uul,v.,To wrestle; to come to grips with.,He grappled with the burglar and overpowered him.,"wrestle, tussle, struggle, contend","yield, avoid, evade","From Old French grapil, ""hook, grapnel,"" related to 'grape' (cluster), of Germanic origin."
grate,grayt,v.,To make a harsh noise; to have an unpleasant effect; to shred.,The screams of the quarreling children grated on her nerves.,"irritate, rasp, irk, chafe","soothe, please, harmonize","From Old French grater, ""to scratch, scrape,"" of Germanic origin."
gratify,GRAT-ih-fy,v.,To please.,Lori's parents were gratified by her successful performance on the GRE.,"please, satisfy, delight, indulge","displease, disappoint, frustrate","From Latin gratificari, ""to do a favor, oblige,"" from gratus, ""pleasing, thankful."""
gratis,GRAT-is,adv.,Free; without charge.,The company offered to give one package gratis to every purchaser of one of their products.,"free, complimentary, without cost","for a fee, at a price","From Latin gratis, ""out of kindness, for nothing,"" from gratia, ""favor."""
gratuitous,gruh-TOO-ih-tus,adj.,Given freely; unwarranted; uncalled for.,Quit making gratuitous comments about my driving; no one asked you for your opinion.,"unwarranted, unprovoked, uncalled-for, needless","warranted, justified, necessary","From Latin gratuitus, ""free, voluntary,"" from gratus, ""pleasing."""
gratuity,gruh-TOO-ih-tee,n.,A tip.,Many service employees rely more on gratuities than on salaries for their livelihood.,"tip, bonus, reward, perquisite",(no direct antonym),"From Medieval Latin gratuitas, from Latin gratus, ""pleasing, grateful."""
gravity,GRAV-ih-tee,n.,Seriousness; (secondary meaning) the force that attracts bodies toward the earth.,We could tell we were in serious trouble from the gravity of her expression.,"seriousness, solemnity, weightiness","levity, frivolity, triviality","From Latin gravitas, from gravis, ""heavy, weighty, serious."""
gregarious,gruh-GAIR-ee-us,adj.,Sociable; fond of the company of others.,"Typically, party-throwers are gregarious; hermits are not.","sociable, outgoing, convivial, companionable","solitary, reclusive, antisocial","From Latin gregarius, ""belonging to a flock,"" from grex, ""flock, herd."""
grievance,GREE-vunts,n.,A cause of complaint.,"When her supervisor ignored her complaint, she took her grievance to the union.","complaint, gripe, injustice, injury","satisfaction, contentment","From Old French grevance, from grever, ""to burden, harm,"" from Latin gravare."
grill,gril,v.,To question severely (secondary meaning; primary meaning: to cook over direct heat).,"In violation of the Miranda law, the police grilled the suspect for several hours before reading him his rights.","interrogate, cross-examine, question intensely","reassure, comfort","From 'grill' (the cooking apparatus), figuratively extended to mean subjecting someone to intense pressure."
grimace,GRIM-us,n.,"A facial distortion to show feeling such as pain, disgust, etc.","Even though he remained silent, his grimace indicated his displeasure.","scowl, wince, frown, smirk","smile, beam","From French grimace, possibly from Old Provençal grimas, related to Germanic words for 'mask.'"
grisly,GRIZ-lee,adj.,Ghastly.,She shuddered at the grisly sight.,"gruesome, gory, horrifying, macabre","pleasant, lovely, delightful","From Old English grislic, ""horrible, dreadful."""
grotesque,groh-TESK,adj.,Fantastic; comically hideous.,On Halloween people enjoy wearing grotesque costumes.,"bizarre, hideous, monstrous, absurd","normal, ordinary, attractive","From Italian grottesca, ""of a cave,"" referring to ancient cave paintings discovered in Rome, from grotta, ""grotto."""
grotto,GRAH-toh,n.,A small cavern.,The Blue Grotto in Capri can be entered only by small boats rowed by natives through a natural opening in the rocks.,"cave, cavern, hollow",(no direct antonym),"From Italian grotta, from Latin crypta, ""vault, crypt,"" from Greek krypte."
grouse,grows,v.,To complain; to fuss.,"Students traditionally grouse about the abysmal quality of ""mystery meat"" and similar dormitory food.","gripe, grumble, carp, whine","praise, commend, rejoice","Origin uncertain, possibly from Old French groucier, ""to grumble"" (related to 'grudge')."
grovel,GRAH-vul,v.,To crawl or creep on the ground; to remain prostrate; to behave abjectly.,"Even though we have been defeated, we do not have to grovel before our conquerors.","cringe, cower, fawn, kowtow","stand tall, defy, hold one's head high","Back-formation from 'groveling,' from Middle English on grufe, ""face down,"" from Old Norse a grufu."
grudging,GRUJ-ing,adj.,Unwilling; reluctant; stingy.,We received only grudging support from the mayor despite his earlier promises of aid.,"reluctant, unwilling, begrudging, half-hearted","willing, generous, enthusiastic","From 'grudge' (Middle English grucchen, ""to grumble""), from Old French groucier."
gruel,GROO-ul,n.,"Thin, liquid porridge.",Our daily allotment of gruel made the meal not only monotonous but also unpalatable.,"porridge, mush, watery cereal",(no direct antonym),"From Old French gruel, from Germanic grut, ""coarse meal."""
grueling,GROO-uh-ling,adj.,Exhausting.,The marathon is a grueling race.,"exhausting, punishing, arduous, taxing","easy, effortless, mild","From 'gruel,' originally ""to give someone their gruel"" (i.e., a thrashing), of figurative slang origin."
gruesome,GROO-sum,adj.,Grisly; horrible.,His face was the stuff of nightmares: all the children in the audience screamed when Freddy Kruger's gruesome countenance was flashed on the screen.,"horrifying, ghastly, macabre, grisly","pleasant, lovely, delightful","From Scots/Northern English 'grue' (to shudder with fear) + '-some,' related to Middle Dutch gruwen."
gruff,gruf,adj.,Rough-mannered; harsh in speech or manner.,"Although he was blunt and gruff with most people, he was always gentle with children.","curt, surly, brusque, harsh","gentle, mild, courteous","From Dutch/German grof, ""coarse, rude."""
guffaw,guh-FAW,n.,Boisterous laughter.,The loud guffaws that came from the closed room indicated that the members of the committee had not yet settled down to serious business.,"belly laugh, roar of laughter, hoot","sob, whimper","Imitative in origin, from Scots, suggesting the sound of loud laughter."
guile,gyl,n.,Deceit; duplicity; cunning.,Iago uses considerable guile to trick Othello into believing that Desdemona has been unfaithful.,"cunning, deceit, craftiness, trickery","candor, honesty, forthrightness","From Old French guile, possibly of Germanic origin, related to 'wile.'"
guileless,GYL-lus,adj.,Without deceit.,"He is naive, simple, and guileless; he cannot be guilty of fraud.","innocent, naive, ingenuous, sincere","cunning, deceitful, sly",From 'guile' + '-less.'
guise,gyz,n.,Appearance; costume; outward semblance.,"In the guise of a plumber, the detective investigated the murder case.","disguise, semblance, pretense, facade","true identity, reality","From Old French guise, ""manner, fashion,"" of Germanic origin."
gull,gul,v.,To trick; to hoodwink.,"Confident no one could gull him, Paul prided himself on his skeptical disposition.","dupe, deceive, swindle, hoodwink","deal honestly with, be straight with","Origin uncertain, possibly related to Middle English gull, ""a young bird,"" or to 'gullible.'"
gullible,GUL-ih-buul,adj.,Easily deceived.,"Gullible people have only themselves to blame if they fall for con artists repeatedly. As the saying goes, ""Fool me once, shame on you. Fool me twice, shame on me.""","credulous, naive, unsuspecting, trusting","skeptical, wary, shrewd",From 'gull' (to deceive) + '-ible.'
gustatory,GUS-tuh-tor-ee,adj.,Affecting the sense of taste.,The Thai restaurant offered an unusual gustatory experience for those used to a bland cuisine.,"relating to taste, culinary",(no direct antonym),"From Latin gustare, ""to taste."""
gusto,GUS-toh,n.,Enjoyment; enthusiasm.,He accepted the assignment with such gusto that I feel he would have been satisfied with a smaller salary.,"relish, zest, zeal, enthusiasm","apathy, indifference, reluctance","From Italian gusto, ""taste,"" from Latin gustus."
gusty,GUS-tee,adj.,Windy.,The gusty weather made sailing precarious.,"windy, blustery, squally","calm, still","From 'gust' (Old Norse gustr, ""a blast of wind"") + '-y.'"
guy,gy,n.,A cable or chain attached to something that needs to be braced or steadied.,"If the guys holding up the mast on that derrick snap, the mast will topple.","brace, stay, support cable",(no direct antonym),"From Middle Dutch gijden, ""to guide,"" related to 'guide.'"
gyroscope,JY-ruh-skohp,n.,"Apparatus used to maintain balance, ascertain direction, etc.","By using a rotating gyroscope, they were able to stabilize the vessel, counteracting the rolling movements of the sea.","stabilizer, spinning balance device",(no direct antonym),"From Greek gyros, ""circle, ring,"" + skopein, ""to view, examine."""
habituate,huh-BICH-oo-ayt,v.,To accustom or familiarize; to addict.,"Macbeth gradually habituated himself to murder, shedding his scruples as he grew accustomed to his bloody deeds.","accustom, condition, inure, acclimate","unaccustom, free (from habit)","From Latin habituare, from habitus, ""condition, habit."""
hackles,HAK-uulz,n.,"Hairs on back and neck, especially of a dog (raised when angry or alarmed).",The dog's hackles rose and he began to growl as the sound of footsteps grew louder.,"neck hairs, ruff",(no direct antonym),"From Middle English hakell, related to 'hook,' originally referring to a comb for dressing flax or feathers used in fishing lures."
hackneyed,HAK-need,adj.,Commonplace; trite.,"When the reviewer criticized the movie for its hackneyed plot, we agreed; we had seen similar stories hundreds of times before.","trite, clichéd, stale, overused","original, fresh, novel","From 'hackney' (a horse for ordinary riding, hired out repeatedly), from Hackney, a district in London once known for horse pastures."
haggard,HAG-erd,adj.,Wasted away; gaunt.,"After his long illness, he was pale and haggard.","gaunt, careworn, drawn, emaciated","robust, hale, healthy","From Old French hagard, originally describing an untamed hawk; later applied to a wild, wasted appearance."
haggle,HAG-uul,v.,To argue about prices.,"I prefer to shop in a store that has a one-price policy because, whenever I haggle with a shopkeeper, I am never certain that I am paid a fair price for the articles I purchased.","bargain, negotiate, dicker, wrangle","accept (the asking price), pay outright","From Middle English haglen, related to Old Norse hoggva, ""to hew, hack."""
halcyon,HAL-see-un,adj.,Calm; peaceful.,"In those halcyon days, people were not worried about sneak attacks and bombings.","tranquil, serene, peaceful, idyllic","turbulent, chaotic, stormy","From Greek halkyon, ""kingfisher,"" a bird believed to calm the seas while nesting."
hale,hayl,adj.,Healthy.,"After a brief illness, he was soon hale.","robust, vigorous, sound, healthy","sickly, infirm, frail","From Old English hal, ""whole, healthy"" (related to 'whole' and 'health')."
hallowed,HAL-ohd,adj.,Blessed; consecrated.,"Although the dead girl's parents had never been active churchgoers, they insisted that their daughter be buried in hallowed ground.","sacred, sanctified, holy, consecrated","profane, desecrated, unholy","From Old English halgian, ""to make holy,"" from halig, ""holy."""
hallucination,huh-loo-sih-NAY-shun,n.,A delusion.,I think you were frightened by a hallucination that you created in your own mind.,"delusion, illusion, mirage, vision","reality, perception (accurate)","From Latin hallucinari, ""to wander mentally, dream."""
halting,HAWL-ting,adj.,Hesitant; faltering.,Novice extemporaneous speakers often talk in a halting fashion as they grope for the right words.,"faltering, hesitant, stammering, stumbling","fluent, smooth, confident","From 'halt' (Old English healtian, ""to limp"")."
hamper,HAM-per,v.,To obstruct; to hinder.,The new mother hadn't realized how much the effort of caring for an infant would hamper her ability to keep an immaculate house.,"hinder, impede, obstruct, encumber","facilitate, assist, expedite","Origin uncertain, possibly related to 'hamble,' ""to mutilate,"" or to Old French hamper."
hap,hap,n.,Chance; luck.,"In his poem Hap, Thomas Hardy objects to the part chance plays in our lives.","luck, fortune, chance, fate","design, plan, intention","From Old Norse happ, ""good luck, chance"" (related to 'happen' and 'happy')."
haphazard,hap-HAZ-erd,adj.,Random; by chance.,His haphazard reading left him unacquainted with many classic books.,"random, unplanned, arbitrary, aimless","deliberate, systematic, methodical","From 'hap' (chance) + 'hazard' (risk, from Old French hasard)."
hapless,HAP-lus,adj.,Unfortunate.,This hapless creature had never known a moment's pleasure.,"unlucky, luckless, unfortunate, ill-fated","fortunate, lucky, blessed",From 'hap' (luck) + '-less.'
harangue,huh-RANG,n.,"A long, passionate, and vehement speech.","In her lengthy harangue, the principal berated the offenders.","tirade, diatribe, rant, screed","calm discussion, quiet remark","From Old Italian aringa, ""public speech,"" possibly of Germanic origin related to 'ring' (assembly)."
harass,huh-RASS / HAIR-us,v.,To annoy by repeated attacks.,"When he could not pay his bills as quickly as he had promised, he was harassed by his creditors.","torment, badger, pester, hound","leave alone, comfort, support","From French harasser, possibly from harer, ""to set a dog on,"" of uncertain ultimate origin."
harbinger,HAHR-bin-jer,n.,A forerunner.,The crocus is an early harbinger of spring.,"herald, precursor, omen, sign","consequence, aftermath, result","From Old French herbergere, ""one who provides lodging,"" from herberge, ""shelter,"" of Germanic origin; later evolved to mean one who goes ahead to announce an arrival."
harbor,HAR-ber,v.,To give shelter or refuge to; to hide.,The old fisherman agreed to harbor the stranded sailors until the storm passed.,"shelter, shield, lodge","expel, expose","Old English herebeorg, ""shelter, lodging"" (here ""army"" + beorg ""refuge"")"
hardy,HAR-dee,adj.,Able to withstand difficult or harsh conditions; robust.,Only the hardiest climbers attempt the summit in deep winter.,"sturdy, robust, resilient","fragile, delicate","Old French hardi ""bold,"" from hardir ""to harden"""
harping,HAR-ping,n.,"Tiresome, repeated talk on a single subject.",Her constant harping on his lateness finally drove him to set three alarms.,"nagging, dwelling, harassment","silence, reticence","From ""to harp on,"" literally to pluck repeatedly at one harp string"
harrowing,HAR-oh-ing,adj.,"Extremely distressing, disturbing, or traumatic.",She described the harrowing escape from the burning building.,"traumatic, agonizing, grueling","comforting, soothing","Middle English harwen ""to drag, torment""; related to the farm tool that tears soil"
harry,HAR-ee,v.,To harass repeatedly; to raid or torment.,Mosquitoes harried the campers throughout the humid night.,"torment, plague, beset","comfort, soothe","Old English hergian ""to ravage, plunder"""
hatch,hach,n.,"An opening in a deck, floor, or roof, often fitted with a cover.",The sailor climbed through the hatch to reach the lower deck.,"opening, trapdoor, hatchway",N/A,"Old English hæcc ""grating, floodgate"""
haughtiness,HAW-tee-nes,n.,Arrogant pride; disdainful sense of superiority.,His haughtiness alienated even his closest colleagues.,"arrogance, conceit, disdain","humility, modesty","Old French haut ""high,"" from Latin altus"
haven,HAY-ven,n.,A place of safety or refuge.,The small bookstore became a haven for students escaping the noisy campus.,"sanctuary, refuge, shelter","danger zone, hazard","Old English hæfen; related to Old Norse höfn ""harbor"""
hazardous,HAZ-er-dus,adj.,Risky; dangerous.,Cleaning crews wore protective suits while handling the hazardous chemicals.,"dangerous, perilous, risky","safe, secure","Arabic az-zahr ""the die,"" via Old French hasard ""game of chance"""
hazy,HAY-zee,adj.,Slightly unclear or obscured; vague.,Her memory of that night was hazy at best.,"vague, blurred, murky","clear, distinct","Possibly related to Old English hasu ""gray""; origin uncertain"
headlong,HED-lawng,adj./adv.,"Rash and hasty; (adv.) headfirst, recklessly.",He made a headlong dash for the closing train doors.,"rash, impulsive, reckless","cautious, deliberate","""Head"" + obsolete suffix ""-long"" (in the direction of)"
headstrong,HED-strawng,adj.,Stubbornly determined to have one's own way.,The headstrong toddler refused every outfit her mother chose.,"willful, obstinate, stubborn","compliant, docile","""Head"" + ""strong,"" implying strength concentrated in one's will"
heckler,HEK-ler,n.,One who interrupts a speaker with taunting remarks.,The comedian silenced the heckler with a quick comeback.,"taunter, jeerer, baiter","supporter, admirer","From ""heckle,"" originally a tool for combing flax, later ""to harass"""
hedonist,HEE-duh-nist,n.,A person devoted to the pursuit of pleasure.,"As a confirmed hedonist, he planned every vacation around fine food and luxury.","pleasure-seeker, sensualist","ascetic, stoic","Greek hēdonē ""pleasure"""
heedless,HEED-les,adj.,Paying no attention; careless.,"Heedless of the warning signs, the hikers continued onto the unstable ledge.","careless, oblivious, reckless","attentive, mindful","Old English hēdan ""to heed"" + ""-less"""
hegemony,hi-JEM-uh-nee,n.,"Dominance of one group, state, or nation over others.",The empire's naval hegemony went unchallenged for over a century.,"dominance, supremacy, control","subordination, equality","Greek hēgemonia ""leadership,"" from hēgemōn ""leader"""
heinous,HAY-nus,adj.,Shockingly evil or wicked.,The court condemned the heinous crime in the strongest terms.,"atrocious, monstrous, vile","admirable, virtuous","Old French haine ""hatred"""
herbivorous,her-BIV-er-us,adj.,Feeding chiefly on plants.,Giraffes are herbivorous animals that browse on treetop leaves.,"plant-eating, vegetarian",carnivorous,"Latin herba ""plant"" + vorare ""to devour"""
heresy,HER-uh-see,n.,A belief that contradicts established doctrine.,Questioning the council's authority was considered heresy in that era.,"dissent, apostasy, heterodoxy","orthodoxy, conformity","Greek hairesis ""choice, school of thought"""
